subId,subjectName,subjectType,subName
1650,Energy Resources Economics and Environment,Theory,04EE6503
1651,Chemical Process Technology,Elective,04EE6507
1652,Integrated Lighting System,Elective,04EE6509
1653,Energy System Modeling and Analysis,Elective,04EE6511
1654,Seminar-1,Lab,04EE6591
1655,Energy System Lab,Lab,04EE6593
1656,Computer Applications in Power Systems,Theory,04EE6403
1657,System Theory,Elective,04EE6103
1658,Modelling and Analysis of Electrical Machines,Elective,04EE6205
1659,Advanced Power Semicondudtor Devices,Elective,04EE6300
1660,Seminar - 1,Lab,04EE6491
1661,Power Systems Simulation Lab,Lab,04EE6493
1662,INDUSTRIAL TRIBOLOGY,Elective,04ME6509
1663,ENGINEERING OPTIMIZATION,Elective,04ME6515
1664,Self Assembling nanostructured molecular materials and devices,Elective 4,04CH7101
1665,Societal Implications of Nanotechnology,Elective 4,04CH7103
1666,Computational Nanosciences,Elective 4,04CH7105
1667,Nanodevice Technology,Elective 5,04CH7109
1668,Green Manufacturing Technology,Elective 5,04CH7111
1669,Nanotechnology in Business Applications and Intellectual Property Rights,Elective 5,04CH7113
1670,Drug delivery Systems,Elective 5,04CH7115
1671,PROJECT (PHASE I),Lab,04CH7193
1672,Design of Steel concrete composite structures,Elective 4,04CE7101
1673,Experimental Techniques & Instrumentation,Elective 4,04CE7103
1674,Design of Cylindrical shell and Folded Plates,Elective 4,04CE7105
1675,Numerical Methods in Civil Engineering,Elective 5,04CE7109
1676,Engineering Fracture Mechanics,Elective 5,04CE7111
1677,Maintenance & Rehabilitation of Structures,Elective 5,04CE7113
1678,Prefabricated structures,Elective 5,04CE7115
1679,Seminar -II,Lab,04CE7191
1680,Project (Phase 1),Lab,04CE7193
1681,Design of Steel â€“ Concrete Composite Structures,Elective,04CE7401
1682,Design of Bridges,Elective,04CE7403
1683,Construction Economics and Finance,Elective,04CE7405
1684,Construction Project Management,Elective,04CE7411
1685,Construction Personnel Management,Elective,04CE7415
1686,Seminar - II,Lab,04CE7491
1687,Project (Phase - I),Lab,04CE7493
1688,Wireless ADHOC and Sensor Networks,Elective,04EC7301
1689,Communication Switching & Multiplexing,Elective,04EC7303
1690,Microwave Integrated Circuit Design,Elective,04EC7307
1691,Adaptive and Smart Antennas,Elective,04EC7309
1692,Modern Trends in communication,Elective,04EC7315
1693,Project(Phase 1),Lab,04EC7393
1694,Dicrtibuted Computing Systems,Elective,04CS7103
1695,Wireless Sensor Networks,Elective,04CS7105
1696,Text Mining and Language Processing,Elective,04CS7107
1697,Parellel Algorithms,Elective,04CS7115
1698,Seminar-2,Seminar,04CS7191
1699,Project (Phase - 1),Lab,04CS7193
1700,Energy and Climate,Elective,04EE7501
1701,Waste Management and Energy Generation Technologies,Elective,04EE7507
1702,Energy Effiency in Thermal Utilities,Elective,04EE7509
1703,Bio-inspired Algorithms,Elective,04EE7001
1704,Data Acquisition and Signal Conditioning,Elective,04EE7113
1705,Power Generationand System Planning,Elective,04EE7423
1706,Seminar -2,Lab,04EE7591
1707,Robotics and Automation,Elective,04EE7105
1708,Digital Protection of Power Systems,Elective,04EE7409
1709,Industrial Control Electronics,Elective,04EE7113
1710,Numerical Simulation of Power Electronic Systems,Elective,04EE7307
1711,Advanced Controllers for Embedded Systems,Elective,04EE7603
1712,Seminar - 2,Lab,04EE7491
